FechaEmision;Año;Mes;Tipo de Comprobante;Nro. Doc. Receptor;DenominacionReceptor;IVA 10,5%;Imp. Neto Gravado IVA 10,5%;IVA 21%;Imp. Neto Gravado IVA 21%;IVA 27%;Imp. Neto Gravado IVA 27%;Imp. Neto Gravado Total;Imp. Neto No Gravado;Imp. Op. Exentas;Otros Tributos;Total IVA;Imp. Total;TotalVenta;Anio;Anio_ajuste;Mes_ajuste;IPC_fila;Coef_Deflactor;TotalVenta_Real;TotalVenta_Nominal
2023-01-13;2023;1;1;30657033770;Sin cliente;831;7920;1173;5585;0;0;13506;0;0;0;2004;15510;15510;2023;2023;1;1.06;7.779718450816378;120663;15510
2023-01-13;2023;1;1;30657033770;Sin cliente;1752;16687;0;0;0;0;16687;0;0;0;1752;18440;18440;2023;2023;1;1.06;7.779718450816378;143458;18440
2023-01-13;2023;1;1;30657033770;Sin cliente;0;0;3694;17592;0;0;17592;0;0;0;3694;23748;23748;2023;2023;1;1.06;7.779718450816378;184753;23748
2023-01-14;2023;1;1;30657033770;Sin cliente;0;0;3204;15258;0;0;15258;0;0;0;3204;18462;18462;2023;2023;1;1.06;7.779718450816378;143629;18462
2023-01-14;2023;1;1;30657033770;Sin cliente;0;0;6994;33307;0;0;33307;0;0;0;6994;40301;40301;2023;2023;1;1.06;7.779718450816378;313530;40301
2023-01-14;2023;1;1;30657033770;Sin cliente;0;0;0;0;3643;13495;13495;0;0;0;3643;18794;18794;2023;2023;1;1.06;7.779718450816378;146212;18794
2023-01-15;2023;1;1;30657033770;Sin cliente;0;0;3874;18451;0;0;18451;0;0;0;3874;23617;23617;2023;2023;1;1.06;7.779718450816378;183734;23617
2023-01-16;2023;1;1;30657033770;Sin cliente;0;0;3593;17110;0;0;17110;0;0;0;3593;20703;20703;2023;2023;1;1.06;7.779718450816378;161064;20703
2023-01-16;2023;1;1;30657033770;Sin cliente;943;8989;7257;34558;0;0;43547;0;0;0;8201;54880;54880;2023;2023;1;1.06;7.779718450816378;426951;54880
2023-01-16;2023;1;1;30657033770;Sin cliente;2012;19168;0;0;0;0;19168;0;0;0;2012;21180;21180;2023;2023;1;1.06;7.779718450816378;164774;21180
